price,date
$318.20 ,20210508-1229
$320.46 ,20210508-1229
$325.26 ,20210508-1229
$248.78,20210509-1535
$250.51,20210509-1535
$260.15,20210509-1535
$266.00,20210509-1535
$266.95,20210509-1535
$267.24,20210509-1535
$267.52,20210509-1535
$267.91,20210509-1535
$270.97,20210509-1535
$271.80,20210509-1535
$271.80,20210509-1535
$274.95,20210509-1535
$274.97,20210509-1535
$276.90,20210509-1535
$279.29,20210509-1535
$279.29,20210509-1535
$279.56,20210509-1535
$281.69,20210509-1535
$291.21,20210509-1535
$291.21,20210509-1535
$291.21,20210509-1535
$291.21,20210509-1535
$293.15,20210509-1535
$293.50,20210509-1535
$248.18,20210509-1605
$249.18,20210509-1605
$254.48,20210509-1605
$259.31,20210509-1605
$259.83,20210509-1605
$260.31,20210509-1605
$265.01,20210509-1605
$265.97,20210509-1605
$266.65,20210509-1605
$267.69,20210509-1605
$268.08,20210509-1605
$271.01,20210509-1605
$275.01,20210509-1605
$275.02,20210509-1605
$277.23,20210509-1605
$279.39,20210509-1605
$279.39,20210509-1605
$279.74,20210509-1605
$282.10,20210509-1605
$291.39,20210509-1605
$291.39,20210509-1605
$291.39,20210509-1605
$291.39,20210509-1605
$303.17,20210509-1605
$247.89,20210509-1639
$248.05,20210509-1639
$255.10,20210509-1639
$258.36,20210509-1639
$259.67,20210509-1639
$264.31,20210509-1639
$265.26,20210509-1639
$266.40,20210509-1639
$268.34,20210509-1639
$268.73,20210509-1639
$271.51,20210509-1639
$275.53,20210509-1639
$275.54,20210509-1639
$278.08,20210509-1639
$279.97,20210509-1639
$279.97,20210509-1639
$280.41,20210509-1639
$283.06,20210509-1639
$292.09,20210509-1639
$292.09,20210509-1639
$292.09,20210509-1639
$292.09,20210509-1639
$302.27,20210509-1639
$302.61,20210509-1639
