price,date
$285.82,20210509-1932
$287.51,20210509-1932
$291.92,20210509-1932
$293.98,20210509-1932
$300.50,20210509-1932
$323.21,20210509-1932
$329.51,20210509-1932
$331.23,20210509-1932
$331.23,20210509-1932
$331.47,20210509-1932
$343.59,20210509-1932
$343.60,20210509-1932
$253.70,20210509-2032
$253.70,20210509-2032
$273.22,20210509-2032
$273.22,20210509-2032
$280.68,20210509-2032
$280.69,20210509-2032
$280.71,20210509-2032
$280.74,20210509-2032
$280.75,20210509-2032
$281.33,20210509-2032
$282.18,20210509-2032
$283.97,20210509-2032
$284.67,20210509-2032
$287.34,20210509-2032
$292.74,20210509-2032
$294.64,20210509-2032
$300.36,20210509-2032
$324.07,20210509-2032
$330.43,20210509-2032
$332.16,20210509-2032
$332.16,20210509-2032
$332.39,20210509-2032
$343.08,20210509-2032
$343.10,20210509-2032
$254.96,20210509-2102
$254.96,20210509-2102
$274.57,20210509-2102
$274.57,20210509-2102
$281.34,20210509-2102
$281.36,20210509-2102
$281.40,20210509-2102
$281.78,20210509-2102
$281.97,20210509-2102
$282.31,20210509-2102
$282.76,20210509-2102
$284.44,20210509-2102
$285.10,20210509-2102
$288.27,20210509-2102
$294.18,20210509-2102
$296.01,20210509-2102
$301.36,20210509-2102
$325.64,20210509-2102
$332.06,20210509-2102
$333.80,20210509-2102
$333.80,20210509-2102
$334.03,20210509-2102
$344.04,20210509-2102
$344.06,20210509-2102
$254.41,20210509-2132
$254.41,20210509-2132
$273.98,20210509-2132
$273.98,20210509-2132
$280.01,20210509-2132
$280.02,20210509-2132
$280.06,20210509-2132
$280.88,20210509-2132
$281.20,20210509-2132
$281.30,20210509-2132
$281.34,20210509-2132
$282.89,20210509-2132
$283.50,20210509-2132
$287.16,20210509-2132
$293.55,20210509-2132
$295.30,20210509-2132
$300.22,20210509-2132
$324.92,20210509-2132
$331.35,20210509-2132
$333.08,20210509-2132
$333.08,20210509-2132
$333.32,20210509-2132
$342.57,20210509-2132
$342.58,20210509-2132
$276.52,20210509-2232
$276.52,20210509-2232
$281.12,20210509-2232
$281.14,20210509-2232
$281.18,20210509-2232
$282.30,20210509-2232
$282.89,20210509-2232
$283.08,20210509-2232
$283.48,20210509-2232
$283.62,20210509-2232
$284.16,20210509-2232
$288.84,20210509-2232
$296.27,20210509-2232
$297.87,20210509-2232
$302.02,20210509-2232
$327.48,20210509-2232
$327.88,20210509-2232
$334.43,20210509-2232
$336.17,20210509-2232
$336.17,20210509-2232
$336.41,20210509-2232
$344.27,20210509-2232
$344.28,20210509-2232
$351.58,20210509-2232
$278.58,20210509-2302
$278.58,20210509-2302
$282.47,20210509-2302
$282.49,20210509-2302
$282.53,20210509-2302
$283.58,20210509-2302
$284.70,20210509-2302
$284.78,20210509-2302
$284.78,20210509-2302
$285.28,20210509-2302
$285.43,20210509-2302
$290.50,20210509-2302
$298.48,20210509-2302
$300.01,20210509-2302
$303.77,20210509-2302
$329.67,20210509-2302
$330.31,20210509-2302
$336.92,20210509-2302
$338.68,20210509-2302
$338.68,20210509-2302
$338.92,20210509-2302
$346.09,20210509-2302
$346.10,20210509-2302
$354.20,20210509-2302
$281.38,20210509-2332
$281.38,20210509-2332
$284.55,20210509-2332
$284.57,20210509-2332
$284.61,20210509-2332
$285.59,20210509-2332
$286.68,20210509-2332
$287.14,20210509-2332
$287.22,20210509-2332
$287.26,20210509-2332
$292.91,20210509-2332
$301.48,20210509-2332
$302.94,20210509-2332
$306.32,20210509-2332
$332.73,20210509-2332
$333.59,20210509-2332
$340.30,20210509-2332
$342.08,20210509-2332
$342.08,20210509-2332
$342.32,20210509-2332
$348.81,20210509-2332
$348.82,20210509-2332
$357.75,20210509-2332
$361.77,20210509-2332
$284.55,20210510-0002
$284.55,20210510-0002
$287.00,20210510-0002
$287.02,20210510-0002
$287.06,20210510-0002
$287.96,20210510-0002
$288.94,20210510-0002
$289.36,20210510-0002
$290.03,20210510-0002
$290.19,20210510-0002
$295.70,20210510-0002
$296.28,20210510-0002
$304.88,20210510-0002
$306.27,20210510-0002
$309.27,20210510-0002
$336.23,20210510-0002
$337.33,20210510-0002
$344.14,20210510-0002
$345.93,20210510-0002
$345.93,20210510-0002
$346.18,20210510-0002
