price,date,min,max,median
$339.61,20210510-1802,,,
$483.10,20210510-1802,,,
$1550.65,20210510-1802,,,
$331.33,20210510-1832,,,
$336.49,20210510-1832,,,
$338.85,20210510-1832,,,
$484.43,20210510-1832,,,
$1555.98,20210510-1832,,,
$330.19,20210510-1902,,,
$335.36,20210510-1902,,,
$337.30,20210510-1902,,,
$484.60,20210510-1902,,,
$1557.61,20210510-1902,,,
$321.02,20210510-1932,,,
$326.06,20210510-1932,,,
$327.54,20210510-1932,,,
$472.95,20210510-1932,,,
$1521.20,20210510-1932,,,
$321.35,20210510-2002,,,
$326.41,20210510-2002,,,
$327.49,20210510-2002,,,
$475.26,20210510-2002,,,
$1529.68,20210510-2002,,,
$325.44,20210510-2032,,,
$330.59,20210510-2032,,,
$331.27,20210510-2032,,,
$483.17,20210510-2032,,,
$1556.21,20210510-2032,,,
$314.45,20210510-2102,,,
$319.45,20210510-2102,,,
$319.70,20210510-2102,,,
$468.67,20210510-2102,,,
$1510.54,20210510-2102,,,
$311.06,20210510-2132,,,
$315.87,20210510-2132,,,
$316.02,20210510-2132,,,
$465.43,20210510-2132,,,
$1501.11,20210510-2132,,,
$312.79,20210510-2202,,,
$317.23,20210510-2202,,,
$317.79,20210510-2202,,,
$469.83,20210510-2202,,,
$1516.37,20210510-2202,,,
$311.54,20210510-2232,,,
$315.57,20210510-2232,,,
$316.54,20210510-2232,,,
$469.79,20210510-2232,,,
$1517.27,20210510-2232,,,
$304.10,20210510-2302,,,
$307.65,20210510-2302,,,
$309.00,20210510-2302,,,
$460.38,20210510-2302,,,
$1487.89,20210510-2302,,,
$301.10,20210510-2332,,,
$304.23,20210510-2332,,,
$305.97,20210510-2332,,,
$457.64,20210510-2332,,,
$1480.06,20210510-2332,,,
$303.21,20210511-0002,,,
$305.97,20210511-0002,,,
$308.14,20210511-0002,,,
$462.68,20210511-0002,,,
$1497.38,20210511-0002,,,
$304.88,20210511-0032,,,
$307.27,20210511-0032,,,
$309.86,20210511-0032,,,
$467.09,20210511-0032,,,
$1512.69,20210511-0032,,,
$305.77,20210511-0102,,,
$307.76,20210511-0102,,,
$310.77,20210511-0102,,,
$470.32,20210511-0102,,,
$1524.18,20210511-0102,,,
$303.86,20210511-0132,,,
$305.44,20210511-0132,,,
$308.86,20210511-0132,,,
$469.27,20210511-0132,,,
$1521.79,20210511-0132,,,
$300.88,20210511-0202,,,
$302.05,20210511-0202,,,
$305.85,20210511-0202,,,
$466.55,20210511-0202,,,
$1514.02,20210511-0202,,,
$303.77,20210511-0232,,,
$304.54,20210511-0232,,,
$308.81,20210511-0232,,,
$472.94,20210511-0232,,,
$1535.80,20210511-0232,,,
$304.20,20210511-0302,,,
$304.57,20210511-0302,,,
$309.26,20210511-0302,,,
$475.53,20210511-0302,,,
$1545.26,20210511-0302,,,
$301.31,20210511-0332,,,
$301.36,20210511-0332,,,
$306.40,20210511-0332,,,
$473.02,20210511-0332,,,
$1538.13,20210511-0332,,,
$302.07,20210511-0402,,,
$302.53,20210511-0402,,,
$307.61,20210511-0402,,,
$476.81,20210511-0402,,,
$1551.52,20210511-0402,,,
$297.61,20210511-0432,,,
$298.48,20210511-0432,,,
$303.51,20210511-0432,,,
$472.35,20210511-0432,,,
$1538.06,20210511-0432,,,
$294.69,20210511-0502,,,
$295.96,20210511-0502,,,
$300.97,20210511-0502,,,
$470.30,20210511-0502,,,
$1532.42,20210511-0502,,,
$295.12,20210511-0532,,,
$296.81,20210511-0532,,,
$301.85,20210511-0532,,,
$473.61,20210511-0532,,,
$1544.26,20210511-0532,,,
$298.73,20210511-0602,,,
$300.87,20210511-0602,,,
$306.00,20210511-0602,,,
$482.10,20210511-0602,,,
$1572.98,20210511-0602,,,
$301.47,20210511-0632,,,
$304.07,20210511-0632,,,
$309.28,20210511-0632,,,
$489.26,20210511-0632,,,
$1597.44,20210511-0632,,,
$297.49,20210511-0702,,,
$300.49,20210511-0702,,,
$305.66,20210511-0702,,,
$485.54,20210511-0702,,,
$1586.36,20210511-0702,,,
$296.48,20210511-0732,,,
$299.91,20210511-0732,,,
$305.09,20210511-0732,,,
$486.65,20210511-0732,,,
$1591.08,20210511-0732,,,
$289.78,20210511-0802,,,
$293.57,20210511-0802,,,
$298.66,20210511-0802,,,
$478.38,20210511-0802,,,
$1565.10,20210511-0802,,,
$284.32,20210511-0832,,,
$288.46,20210511-0832,,,
$293.49,20210511-0832,,,
$472.07,20210511-0832,,,
$1545.48,20210511-0832,,,
$285.49,20210511-0902,,,
$290.09,20210511-0902,,,
$295.17,20210511-0902,,,
$476.78,20210511-0902,,,
$1561.97,20210511-0902,,,
$279.43,20210511-0932,,,
$284.37,20210511-0932,,,
$289.37,20210511-0932,,,
$469.38,20210511-0932,,,
$1538.75,20210511-0932,,,
$282.71,20210511-1002,,,
$288.15,20210511-1002,,,
$293.23,20210511-1002,,,
$477.66,20210511-1002,,,
$1566.95,20210511-1002,,,
$280.31,20210511-1032,,,
$286.15,20210511-1032,,,
$291.22,20210511-1032,,,
$476.40,20210511-1032,,,
$1563.87,20210511-1032,,,
$281.98,20210511-1132,,,
$287.84,20210511-1132,,,
$292.98,20210511-1132,,,
$483.40,20210511-1132,,,
$1588.99,20210511-1132,,,
460.68,20210511-2013,460.68,1671.24,502.55
502.55,20210511-2013,460.68,1671.24,502.55
1671.24,20210511-2013,460.68,1671.24,502.55
459.19,20210511-2027,459.19,1666.39,500.94
500.94,20210511-2027,459.19,1666.39,500.94
1666.39,20210511-2027,459.19,1666.39,500.94
459.5,20210511-2045,459.5,1668.13,501.27
501.27,20210511-2045,459.5,1668.13,501.27
1668.13,20210511-2045,459.5,1668.13,501.27
